Item,kcal,kJ,Fat g,Saturates g,Carbs g,Sugars g,Fibre g,Protein g,Salt g,kcal,kJ,Fat g,Saturates g,Carbs g,Sugars g,Fibre g,Protein g,Salt
Olives Marinate,137,562,13.6,1.6,1.1,0.1,3.4,0.7,2.8,171,702,17,2,1.4,0.1,4.2,0.9,3.5
Roasted Tomatoes,67,277,3.5,0.4,6,5.6,2.8,1.3,0.5,111,461,5.9,0.6,10,9.4,4.6,2.1,0.8
Dough Balls,396,1650,21.6,12.9,40.4,3.1,3,8.1,1.6,356,1486,19.5,11.6,36.4,2.8,2.7,7.3,1.5
Dough Balls -no butter,230,972,1.3,0.2,46.4,3.1,2.6,9.2,1.3,244,1033,1.4,0.2,49.4,3.3,2.8,9.8,1.4
Vegan Dough Balls -pestorissa-,336,1418,12,1.5,48.6,4.8,3.6,9.7,1.9,294,1243,10.5,1.3,42.6,4.2,3.1,8.5,1.7
Dough Balls Doppio,828,3464,43.3,14,88.3,8.5,5.3,18.6,3.6,342,1431,17.9,5.8,36.5,3.5,2.2,7.7,1.5
Garlic Bread with Mozzarella,356,1494,10,4.4,49.4,3.7,4,14.9,1.6,282,1185,7.9,3.5,39.2,2.9,3.2,11.8,1.3
Bruschetta Originale,362,1519,11.1,2.1,50.8,7.1,6.7,11.1,2,172,723,5.3,1,24.2,3.4,3.2,5.3,1
Buffalo Mozzarella & Tomato Salad,336,1393,28.2,15.2,3.7,3.7,2.7,15.5,0.8,163,676,13.7,7.4,1.8,1.8,1.3,7.5,0.4
Calamari,504,2104,32.1,3.2,36.3,2.9,0.8,17.6,2.8,300,1252,19.1,1.9,21.6,1.7,0.5,10.5,1.7
Classic Italian Antipasto,795,3315,48,17.7,58.5,6.9,4.1,30.1,5.9,288,1201,17.4,6.4,21.2,2.5,1.5,10.9,2.1
Gluten Free Dough Balls with Garlic Butter,370,1548,18.7,9.6,47.4,2.1,3.6,1.2,1.7,336,1407,17,8.7,43.1,1.9,3.3,1.1,1.5
Arrabiata Prawns,296,1250,11.6,1.5,33.4,12.5,3.3,13.7,2.6,110,466,4.3,0.6,12.4,4.7,1.2,5.1,1
